"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Mondelez Global LLC","02/23/2023","06/20/2023"
"PharMerica Corporation","03/12/2023, 03/13/2023","06/19/2023"
"john and kira's","11/24/2021, 07/01/2022","06/15/2023"
"International Chapter P.E.O. Sisterhood","04/14/2023","06/14/2023"
"R&B Corporation of Virginia d/b/a Credit Control Corporation (“CCC”)","03/02/2023, 03/07/2023","06/13/2023"
"Boot World Inc.","","06/13/2023"
"Loeb & Loeb, LLP","06/07/2022","06/13/2023"
"Markwins Beauty Brands, Inc.","02/13/2023","06/13/2023"
"GREENGEEKS LLC","06/11/2023","06/13/2023"
"Momentum WORK, Inc","04/13/2023, 04/14/2023","06/09/2023"
"Patelco Credit Union","02/14/2023, 03/07/2023","06/09/2023"
"CIBT, Inc.","11/19/2022","06/08/2023"
"Water Resources Control Board","09/16/2022","06/08/2023"
"ALDI, Inc.","05/08/2023, 05/17/2023","06/07/2023"
"Door Components, Inc. d/b/a DCI Hollow Metal on Demand","04/17/2023","06/07/2023"
"CGM, Inc.","12/15/2022, 12/28/2022","06/07/2023"
"Heavy Hammer","04/21/2023","06/06/2023"
"Reventics, LLC","12/15/2022","06/05/2023"
"EpiSource","02/19/2023, 02/21/2023","06/02/2023"
"Petaluma Health Center","03/07/2023, 03/14/2023","06/02/2023"
"Credit Union of Southern California","01/10/2023, 01/31/2023","06/01/2023"
"Moody National Companies, LP","12/09/2022, 01/03/2023","06/01/2023"
"C-P Flexible Packaging, Inc. ","02/09/2023","05/31/2023"
"iSpace, Inc.","01/30/2023, 02/05/2023","05/31/2023"
"The Burton Corporation","02/11/2023","05/26/2023"
"Shasta Community Health Center (“Shasta”)","03/09/2023","05/26/2023"
"Nonstop Administration and insurance Services, Inc. (""Nonstop"") on behalf of Eisner Health","12/22/2022","05/26/2023"
"Managed Care of North America, Inc. ","02/26/2023, 03/07/2023","05/26/2023"
"Suffolk University","07/09/2022","05/25/2023"
"SLT Lending SPV, Inc.","03/15/2023, 03/25/2023","05/24/2023"
"Vascular Center of Intervention, Inc.","02/25/2023, 03/29/2023","05/24/2023"
"Kline and Specter, P.C.","03/13/2023","05/24/2023"
"Populus Financial Group","03/09/2023, 03/10/2023","05/23/2023"
"NCB Management Services, Inc.","02/01/2023, 02/06/2023","05/22/2023"
"Apria Healthcare LLC","04/05/2019","05/22/2023"
"The Metropolitan Opera","12/06/2022","05/22/2023"
"Bread Financial Payments, Inc.","03/31/2023","05/22/2023"
"Tenney and Company CPA’s","04/14/2022, 05/19/2022","05/22/2023"
"Polished.com ","03/16/2023, 04/23/2023","05/22/2023"
"Carvin Software, LLC","02/22/2023, 03/09/2023","05/19/2023"
"Credit Union of Southern California","01/10/2023, 01/31/2023","05/18/2023"
"DISH Network L.L.C.  ","02/22/2023, 02/23/2023","05/18/2023"
"Brightline, Inc.","01/30/2023","05/17/2023"
"Young’s Commercial Transfer","01/20/2023, 01/21/2023","05/17/2023"
"Jaco Oil Company","03/25/2023, 03/26/2023","05/17/2023"
"GoDaddy.com LLC","10/16/2019","05/17/2023"
"Puma Biotechnology, Inc.","04/22/2022, 06/19/2022","05/17/2023"
"On Demand Staffing, Inc","","05/17/2023"
"Sysco Corporation","01/14/2023","05/16/2023"
"B.R. Funsten & Company ","02/03/2023","05/16/2023"
"Fertility Specialists Medical Group","03/19/2023, 03/20/2023","05/16/2023"
"Cycle Express, LLC dba National Powersport Auctions","02/21/2023","05/15/2023"
"Whitworth University","07/29/2022","05/13/2023"
"Goodwill Industries of South Central California ","07/21/2022","05/12/2023"
"Brown & Streza LLP ","01/18/2023","05/12/2023"
"Retirement Clearinghouse","03/15/2023, 03/16/2023","05/12/2023"
"Brightline, Inc.","01/30/2023","05/12/2023"
"Brightly Software, Inc","04/20/2023, 05/04/2023","05/11/2023"
"County of Contra Costa, California","09/19/2022, 09/20/2022","05/11/2023"
"Val Verde Unified School District","01/22/2022, 05/10/2022","05/11/2023"
"ARC Document Solutions, Inc.","01/12/2023","05/11/2023"
"Kinetic Investment Mangement, Inc.","10/27/2022","05/10/2023"
"Brightline, Inc.","01/30/2023","05/10/2023"
"Orcutt Union School District","05/04/2023","05/10/2023"
"PRGX Global, Inc.","04/08/2022","05/08/2023"
"Asian Health Services","02/07/2023, 02/08/2023, 02/09/2023, 02/10/2023, 02/11/2023, 02/12/2023, 02/13/2023","05/05/2023"
"RoadSafe Traffic Systems, Inc.","04/10/2023, 04/11/2023","05/05/2023"
"NextGen Healthcare, Inc.","03/29/2023, 04/14/2023","05/05/2023"
"Copia Scientific LLC","11/08/2022","05/04/2023"
"Delano Union School District","11/07/2021","05/03/2023"
"Veridian Credit Union","03/14/2023, 04/03/2023","05/03/2023"
"The Metropolitan Opera","12/06/2022","05/03/2023"
"Carvin Software, LLC","02/22/2023, 03/09/2023","05/02/2023"
"Santa Clara Family Health Plan","01/30/2023","05/02/2023"
"Welding Supplies from IOC, subsidiary of Indiana Oxygen Company (IOC), ","09/28/2022, 02/27/2023","04/29/2023"
"HealthPlan Services, Inc.","06/22/2022, 06/23/2022","04/28/2023"
"Petaluma Health Center ","03/07/2023","04/28/2023"
"Arroyo Insurance Services, Inc.","09/02/2021","04/27/2023"
"Moody National Companies, LP","12/09/2022, 01/03/2023","04/27/2023"
"Massachusetts Mutual Life Insurance Company (""MassMutual"")","02/01/2023","04/27/2023"
"MedsNow","02/26/2023","04/26/2023"
"Kal Krishnan Consulting Services, Inc. (“KKCS”)","08/19/2022","04/26/2023"
"University of California, San Francisco","02/09/2023","04/26/2023"
"Carrington Mortgage Services, LLC","03/09/2023, 03/10/2023","04/26/2023"
"LaborLawCenter, Inc.","02/28/2023","04/25/2023"
"CIC Group, Inc.","03/28/2023, 04/13/2023","04/21/2023"
"Brightline, Inc.","01/30/2023","04/21/2023"
"American Bar Association","03/06/2023","04/20/2023"
"Albertsons Companies, Inc.    ","12/22/2022, 12/23/2022, 12/24/2022","04/20/2023"
"Shields Health Care Group, Inc.","03/07/2022, 03/28/2022","04/19/2023"
"Wanda L. Delgado DBA Insight Financial Advisors","12/29/2022","04/18/2023"
"Huntington Ingalls Industries, Inc.","","04/18/2023"
"CHSPSC, LLC ","01/28/2023, 01/29/2023, 01/30/2023","04/17/2023"
"MiniMed Distribution Corp","09/10/2020","04/14/2023"
"NationsBenefits Holdings, LLC","","04/14/2023"
"EarthLite, LLC ","09/18/2022","04/14/2023"
"John Muir Health - Walnut Creek Medical Center","07/01/2021, 03/24/2023","04/13/2023"
"Yum! Brands, Inc.","01/13/2023","04/13/2023"
"Welding Supplies from IOC and Weld My Ride, subsidiaries of Indiana Oxygen Company (IOC), ","09/25/2022, 02/27/2023","04/13/2023"
"Goodwill Industries of South Central California","07/21/2022","04/13/2023"
"TuneIn, Inc.","03/13/2023","04/12/2023"
"Brightline, Inc.","01/30/2023","04/12/2023"
"Patelco Credit Union","02/08/2023, 03/14/2023","04/12/2023"
"Pennsylvania College of Technology","05/01/2022, 02/27/2023","04/12/2023"
"90 Degree Benefits Inc. - Wisconsin","12/05/2022, 12/11/2022","04/07/2023"
"HawaiiUSA Federal Credit Union","12/12/2022","04/07/2023"
"Cadwalader, Wickersham & Taft","11/15/2022","04/06/2023"
"internalDrive, Inc.","01/03/2023","04/05/2023"
"University of the People","01/02/2022","04/05/2023"
"Prescott College","10/26/2022","04/05/2023"
"California-Oregon Telecommunications Company","06/16/2022, 07/05/2022","04/04/2023"
"Aspire Public Schools","02/12/2022, 08/30/2022","04/03/2023"
"PGT INNOVATIONS ","10/13/2022","04/03/2023"
"O'Neal Industries, Inc.","11/07/2022, 11/27/2022","03/31/2023"
"California Physicians' Services d/b/a Blue Shield of California","01/28/2023","03/31/2023"
"Monument, Inc.","11/01/2017, 01/01/2020","03/31/2023"
"Peter Brasseler Holdings, LLC; Brasseler U.S.A. Dental, LLC; Brasseler U.S.A. Medical, LLC","06/24/2022","03/31/2023"
"City of Oakland","02/06/2023, 02/09/2023","03/30/2023"
"AudienceView Ticketing Corporation","02/14/2023","03/30/2023"
"TMX Finance Corporate Services, Inc., on behalf of itself, its parent TMX Finance LLC and its affiliates, many of which operate under the brands “TitleMax,” “TitleBucks,” and “InstaLoan” (collectively, “TMX”)","12/10/2022","03/30/2023"
"Ara Haddadian CPA","02/15/2023","03/30/2023"
"Regal Medical Group, Inc.","12/01/2022, 12/02/2022","03/29/2023"
"Svanaco, Inc. dba Americaneagle.com","07/25/2022","03/29/2023"
"Crystal Bay Casino","11/27/2022","03/29/2023"
"Tenney and Company CPA’s","04/14/2022, 05/19/2022","03/27/2023"
"Oklahoma City University","07/23/2022","03/27/2023"
"Los Angeles Unified School District","07/31/2022, 09/03/2022","03/24/2023"
"NCB Management Services, Inc.","02/01/2023","03/24/2023"
"Department of Toxic Substances Control","03/10/2023","03/23/2023"
"Guidecraft, Inc.","09/21/2021, 12/30/2022","03/23/2023"
"1st Franklin Financial Corporation","11/17/2022, 11/18/2022","03/23/2023"
"US Wellness Inc.","01/31/2023","03/22/2023"
"Merritt Healthcare Advisors","07/30/2022, 08/25/2022","03/20/2023"
"Department of Health Care Services","01/09/2023","03/20/2023"
"Emtec, Inc. ","09/07/2022, 09/08/2022, 09/09/2022, 09/10/2022, 09/11/2022, 09/12/2022, 09/13/2022, 09/14/2022","03/20/2023"
"Law Offices of John A. Guthrie","03/17/2023","03/17/2023"
"Health Plan of San Mateo","01/17/2023","03/17/2023"
"Cardiovascular Associates","11/28/2022, 12/05/2022","03/17/2023"
"UC San Diego Health","09/13/2022","03/16/2023"
"Jackson Lewis PC","01/07/2022","03/16/2023"
"Myers Power Products, Inc.","01/21/2023","03/16/2023"
"City of Oakland","02/06/2023, 02/09/2023","03/15/2023"
"The Olympic Club","03/31/2022, 04/27/2022","03/15/2023"
"mscripts, LLC","09/30/2016, 11/18/2022","03/14/2023"
"Independent Living Systems, LLC","06/30/2022","03/14/2023"
"AllCare Plus Pharmacy, Inc. (""AllCare"")","04/14/2022","03/14/2023"
"Local Marketing Solutions Group, Inc. parent company of MoneyMailerUSA, Inc., “Money Mailer”","05/31/2022","03/13/2023"
"Spaulding McCullough & Tansil LLP","11/03/2022, 11/04/2022","03/10/2023"
"ZOLL Medical Corporation","01/28/2023","03/10/2023"
"The Housing Authority of the City of Los Angeles","01/15/2022, 12/31/2022","03/10/2023"
"Kiefer Aquatics","02/06/2022, 06/28/2022","03/09/2023"
"Merced College","10/25/2022, 11/03/2022","03/08/2023"
"EPIC MANAGEMENT LLC","01/24/2023","03/08/2023"
"The City of Modesto","01/31/2023","03/08/2023"
"CHSPSC, LLC ","01/28/2023, 01/29/2023, 01/30/2023","03/07/2023"
"Nor-Cal Beverage Co., Inc.","02/03/2023","03/07/2023"
"Elevate Services, Inc.","03/05/2022, 03/15/2022","03/07/2023"
"Squishable.com, Inc.","05/26/2022","03/06/2023"
"Fleming, Nolen & Jez, LLP","","03/06/2023"
"Cerebral, Inc","10/12/2019, 03/01/2023","03/06/2023"
"Crystal Creamery, Inc.","01/13/2023, 01/14/2023","03/03/2023"
"Sterling Bank and Trust","01/26/2023","03/03/2023"
"Mendoza Income Tax","02/16/2023, 03/03/2023","03/03/2023"
"Saltzman & Johnson Law Corporation ","03/07/2022","03/03/2023"
"SNP ENTERPRISES INC.","02/23/2023","03/02/2023"
"Vocality Community Credit Union (“VCCU”)","10/12/2022","03/02/2023"
"Chick-fil-A, Inc.","12/18/2022, 02/12/2023","03/02/2023"
"College of the Desert","06/02/2022, 07/04/2022","03/01/2023"
"Lincoln Families","01/17/2022, 02/11/2022","03/01/2023"
"C. Overaa & Co.","12/17/2022, 12/19/2022","03/01/2023"
"Tenant, Inc.","","03/01/2023"
"Smith, Gambrell & Russell, LLP ","08/09/2021","03/01/2023"
"Hatch Bank","01/30/2023, 01/31/2023","02/28/2023"
"William Warren Properties","01/23/2023, 01/26/2023","02/27/2023"
"Advanced Health Media (“AHM”), an IQVIA company, and clients of AHM.","11/27/2022","02/27/2023"
"Aurora Financial Group, Inc.","12/03/2021","02/24/2023"
"Reventics, LLC","12/15/2022","02/24/2023"
"Crystal Bay Casino","11/27/2022","02/24/2023"
"Brooks Jucha & Associates Insurance Services, Inc. d/b/a BJA Partners","06/02/2022, 06/03/2022","02/17/2023"
"Rancho Mesquite Casino, Inc.","11/09/2022, 11/13/2022","02/17/2023"
"Steven Engineering, Inc.","06/28/2022","02/17/2023"
"TempsPlus Staffing Services, Inc.","08/08/2022","02/17/2023"
"Jackson Lewis PC","01/07/2022","02/17/2023"
"Emtec, Inc.","09/07/2022, 09/08/2022, 09/09/2022, 09/10/2022, 09/11/2022, 09/12/2022, 09/13/2022, 09/14/2022","02/17/2023"
"CA Department of Social Services","01/06/2023","02/16/2023"
"MKS Instruments, Inc. (“MKSI"")","","02/15/2023"
"Penhall Company","12/28/2022","02/15/2023"
"The Donovan Company","","02/14/2023"
"Credit Suisse Group AG","","02/14/2023"
"Xavier University of Louisiana","11/22/2022","02/12/2023"
"Charter Communications","12/21/2022","02/10/2023"
"Zacks Investment Research, Inc.","","02/09/2023"
"Sonder Holdings Inc.","05/21/2022, 05/24/2022, 06/05/2022, 11/12/2022, 11/14/2022","02/08/2023"
"Sharp HealthCare","01/12/2023","02/06/2023"
"Center for Autism and Related Disorders","01/24/2023","02/04/2023"
"Sierra College","08/20/2022","02/03/2023"
"Rise Interactive Media & Analytics, LLC","11/14/2022","02/03/2023"
"S.R. Freeman Inc.","11/30/2022","02/03/2023"
"Highmark ","12/13/2022, 12/14/2022, 12/15/2022","02/03/2023"
"Cardiovascular Associates   ","11/28/2022, 12/05/2022","02/03/2023"
"RBC Ministries dba Our Daily Bread Ministries ","11/18/2022, 12/29/2022","02/03/2023"
"Diligent Corporation","05/21/2022, 05/24/2022","02/01/2023"
"Regal Medical Group, Inc.","12/01/2022, 12/02/2022","02/01/2023"
"Bell-Carter Foods, LLC","09/07/2022","01/31/2023"
"Benefit Administrative Systems, LLC","09/17/2022","01/27/2023"
"Morgan Hill Unified School District","09/11/2022, 10/11/2022","01/27/2023"
"Matco Tools","03/01/2022","01/26/2023"
"Air Resources Board","01/03/2023","01/26/2023"
"SwimOutlet.com","01/04/2023","01/25/2023"
"Sanford Heisler Sharp, LLP","03/19/2022, 04/01/2022","01/25/2023"
"Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston Caregivers","02/19/2022","01/24/2023"
"Jackson Lewis PC","01/07/2022","01/20/2023"
"Special Buys Clothing Inc. DBA Bargain Balloons","09/27/2022, 12/28/2022","01/19/2023"
"PayPal, Inc.","12/06/2022","01/18/2023"
"ODIN Intelligence, Inc.","01/10/2023, 01/15/2023","01/17/2023"
"Los Angeles Unified School District","07/30/2022, 09/03/2022","01/17/2023"
"Drs. Keith and Herman Rundle ","10/09/2022","01/17/2023"
"Crist Biorn Shepherd Roskoph APC","01/13/2023","01/16/2023"
"Elephant Insurance Services, LLC","09/09/2021, 03/28/2022","01/13/2023"
"The Prudential Insurance Company of America","10/26/2022","01/13/2023"
"Hayward Sisters Hospital d/b/a St. Rose Hospital","11/18/2022","01/12/2023"
"TruConnect","02/20/2021, 02/21/2021","01/11/2023"
"Community Psychiatry Management, LLC, dba Mindpath Health ","02/19/2022, 07/05/2022","01/10/2023"
"Insulet Corporation","12/01/2022","01/10/2023"
"Maternal and Family Health Services","08/21/2021, 04/04/2022","01/10/2023"
"Meriplex Communications, Ltd.","11/17/2021, 08/30/2022","01/09/2023"
"Knox College","11/24/2022","01/05/2023"
"City of Chula Vista ","05/04/2022, 05/05/2022","01/03/2023"
"Lincare Holdings Inc.","09/10/2021, 09/29/2021","01/03/2023"
"FIX'D Inc Veteran Service Organization","12/01/2023","01/01/2023"
"California Department of Finance","12/06/2022","12/30/2022"
"SAFE Credit Union","","12/30/2022"
"Bay Bridge Administrators, LLC","09/03/2022","12/29/2022"
"Five Guys Enterprises, LLC / Five Guys Operations, LLC","09/17/2022","12/29/2022"
"Elevate Services, Inc.","03/05/2022, 03/15/2022","12/28/2022"
"Southern California Edison Co.","11/28/2022","12/28/2022"
"Sequoia Federal Credit Union","07/13/2022, 08/16/2022","12/24/2022"
"Cincinnati State Technical Community College","10/30/2022, 11/02/2022","12/23/2022"
"Emtec Inc. ","09/07/2022, 09/08/2022, 09/09/2022, 09/10/2022, 09/11/2022, 09/12/2022, 09/13/2022, 09/14/2022","12/23/2022"
"IBW Financial Corporation","09/30/2021","12/23/2022"
"Nederlander Theatrical Corp.  ","11/21/2021","12/23/2022"
"Your Patient Advisor by Captify Health","05/26/2019, 04/20/2022","12/22/2022"
"Innovative Education Management, Inc. ","11/06/2022, 11/14/2022","12/22/2022"
"Blue Shield of California (BSC)","06/17/2022, 10/30/2022","12/22/2022"
"Human Investing","07/20/2022","12/22/2022"
"Steel River Systems, LLC","05/25/2022, 07/16/2022","12/22/2022"
"BetMGM, LLC (""BetMGM"")","05/21/2022, 05/23/2022","12/21/2022"
"Ethos Technologies Inc.","08/04/2022","12/21/2022"
"JAKKS Pacific, Inc.","09/20/2022","12/20/2022"
"Macmillan and its affiliates (“Macmillan”)","06/16/2022, 06/25/2022","12/20/2022"
"MedStar Mobile Healthcare","10/19/2022, 10/20/2022","12/19/2022"
"P2 Energy Solutions","11/08/2021, 11/17/2021","12/19/2022"
"RINA Accountants & Advisors","02/28/2022, 06/06/2022","12/17/2022"
"Keck Medicine of USC","09/30/2022","12/16/2022"
"Hope College","09/27/2022","12/16/2022"
"Order Express, Inc.","07/29/2022","12/15/2022"
"The Elizabeth Hospice","","12/14/2022"
"Hartnell Community College District","10/02/2022","12/13/2022"
"Sophia Institute Press","11/26/2021","12/12/2022"
"Blaze Solutions","12/29/2021","12/12/2022"
"San Diego Unified School District","10/25/2022","12/12/2022"
"Sequoia One PEO LLC and delivering notice on behalf of clients of Sequoia Benefits and Insurance Services LLC, d/b/a Sequoia Consulting Group","09/22/2022","12/12/2022"
"RFI Security, Inc. dba RFI Communications","","12/09/2022"
"Special Buys Clothing Inc. DBA Bargain Balloons","09/27/2022, 11/07/2022","12/09/2022"
"Veros Credit","12/10/2021","12/07/2022"
"San Gorgonio Memorial Hospital","10/29/2022","12/07/2022"
"Acuity Brands, Inc.","10/06/2020, 10/07/2020, 12/07/2021, 12/08/2021","12/06/2022"
"Black, Gould & Associates, Inc.","08/31/2022, 09/10/2022","12/05/2022"
"Snap Finance, LLC","06/23/2022, 09/08/2022","12/02/2022"
"Macmillan and its affiliates (“Macmillan”)","06/16/2022, 06/25/2022","12/01/2022"
"DataPath, Inc.","12/15/2021","12/01/2022"
"Suffolk University","07/09/2022","11/30/2022"
"Nationwide Optometry, P.C.  ","04/20/2021, 05/17/2021","11/30/2022"
"Alvarez Tax Services, LLC","02/07/2022, 07/18/2022","11/29/2022"
"Hanesbrands Inc.","05/24/2022","11/29/2022"
"Assurance IQ, LLC and USA Family Protection Insurance Services, LLC","11/13/2020","11/29/2022"
"Johnson County, Texas","","11/23/2022"
"Receivables Performance Management LLC","04/08/2022, 05/12/2021","11/21/2022"
"California Correctional Health Care Services","10/12/2022, 10/21/2022, 10/24/2022","11/18/2022"
"Wright & Filippis","01/26/2022","11/18/2022"
"American Express Travel Related Services Company","07/26/2022","11/18/2022"
"County of Tehama, California","11/18/2021, 04/09/2022","11/17/2022"
"Innovative Service Technology Management Services, Inc. ","06/03/2022","11/16/2022"
"Pacific Union College","07/06/2021, 02/25/2022","11/15/2022"
"Pro-Tem, Inc. dba PTI Systems","07/07/2022, 07/16/2022","11/15/2022"
"CCA Health Plans of California, Inc. d/b/a CCA Health California","05/04/2022, 09/16/2022","11/15/2022"
"Simmons Bank","09/01/2021, 08/02/2022","11/15/2022"
"Connexin Software, Inc. ","07/17/2022","11/14/2022"
"Booz Allen Hamilton Holding Company","04/14/2022","11/14/2022"
"Sierra College","08/20/2022","11/11/2022"
"San Diego American Indian Health Center","05/05/2022","11/10/2022"
"Work Health Solutions ","02/16/2022, 03/24/2022","11/09/2022"
"Three Rivers Provider Network","06/02/2022, 06/03/2022","11/09/2022"
"Pitman Farms","10/15/2022, 10/16/2022","11/08/2022"
"Sweetwater Union High School District","09/29/2022, 10/10/2022","11/07/2022"
"CWGS Group (“CWGS”)","01/14/2022","11/07/2022"
"Heritage Life Insurance Company","03/11/2022","11/07/2022"
"Salud Family Health","09/05/2022, 09/06/2022","11/04/2022"
"Sanford Heisler Sharp, LLP","03/19/2022, 04/01/2022","11/03/2022"
"Ethos Group, Inc.","07/30/2022, 07/31/2022","11/02/2022"
"TIC International Corporation","03/30/2022","11/02/2022"
"MY LIFE FOUNDATION","09/01/2021","11/02/2022"
"Lodi Unified School District","09/21/2022","11/01/2022"
"Convergent Outsourcing, Inc. ","06/17/2022","11/01/2022"
"Pathward N.A.","09/04/2022","11/01/2022"
"Beyond 79, LLC ","07/11/2022, 07/18/2022","10/31/2022"
"CorrectCare Integrated Health, Inc.","01/22/2022","10/31/2022"
"Multi-Color Corporation","09/15/2022","10/29/2022"
"Restorative Arts Physical Therapy, Inc. d/b/a Core Conditioning","08/29/2022","10/28/2022"
"SightCare, Inc.","04/20/2021, 05/17/2021","10/28/2022"
"Nationwide Optometry, P.C.","04/20/2021, 05/17/2021","10/28/2022"
"TaxSquad","08/17/2022, 08/22/2022","10/28/2022"
"Newcourse Communications","04/27/2022, 05/03/2022","10/28/2022"
"Minka Lighting LLC","06/27/2022, 06/28/2022, 06/29/2022","10/27/2022"
"Covenant Care California, LLC","02/24/2022, 05/03/2022","10/27/2022"
"U.S. Bank, N.A.","09/23/2022","10/27/2022"
"Pinnacle Claims Management, Inc.","06/26/2022","10/25/2022"
"Symbia Logistics","07/06/2021","10/25/2022"
"WCF National Insurance Company","06/23/2022, 09/20/2022","10/25/2022"
"Primary Anesthesia Services","07/09/2022","10/25/2022"
"Resource Anesthesiology Associates of CA A Medical Corporation","07/09/2022","10/25/2022"
"Anesthesia Services Of San Joaquin PC","07/09/2022","10/25/2022"
"Vivendi Ticketing US LLC (d/b/a See Tickets US)","06/25/2019, 01/08/2022","10/24/2022"
"KeyBank ","07/05/2022","10/21/2022"
"Fred Hutchinson Cancer Center","03/25/2022","10/20/2022"
"Ippolito International LP","04/26/2022","10/20/2022"
"Glenn County Office of Education","04/19/2022, 05/10/2022","10/14/2022"
"M Green and Company LLP","05/18/2022","10/13/2022"
"LifePlans Financial & Insurance Services, Inc.","04/21/2022","10/12/2022"
"Legacy Post Acute Care","01/19/2022, 03/02/2022","10/12/2022"
"Radiology Associates of Albuquerque and Advanced Imaging, LLC. ","12/22/2020, 08/03/2021","10/11/2022"
"Creative Capital Management Investments, LLC","08/15/2022","10/11/2022"
"Radiology Ltd.","12/17/2021, 12/24/2021","10/07/2022"
"The State Bar of Georgia","04/28/2022","10/07/2022"
"Lower LLC","12/10/2021, 12/14/2021","10/06/2022"
"32 Bar Blues LLC","09/18/2020, 02/03/2022","10/06/2022"
"EPAL, Inc.","09/30/2022","10/05/2022"
"CHRISTENSEN ACCOUNTANCY CORPORATION","03/26/2022","10/05/2022"
"Reel FX, Inc. ","06/04/2022, 06/26/2022","10/04/2022"
"Medical Review Institute of America","11/02/2021","10/03/2022"
"Keck Medicine of USC","01/20/2022","09/30/2022"
"focusIT, Inc. on behalf of 32 business customers","06/01/2022, 08/03/2022","09/30/2022"
"City of Tucson, AZ","05/17/2022, 05/31/2022","09/29/2022"
"Hallmark Aviation Services, LP","02/01/2022","09/29/2022"
"Northern California Fertility Medical Center","07/24/2022","09/28/2022"
"Novato Unified School District","09/20/2022","09/28/2022"
"Anthem Blue Cross","05/07/2022","09/28/2022"
"Fesmire & Williams ","11/17/2021","09/27/2022"
"The North Highland Company LLC","05/26/2022","09/26/2022"
"FMC Services, LLC","07/26/2022","09/23/2022"
"Physician's Business Office","04/05/2022","09/23/2022"
"OneMain Financial Group, LLC","07/22/2022, 08/08/2022","09/23/2022"
"Reiter Affiliated Companies, LLC, on behalf of itself and certain data owners","06/25/2022, 07/04/2022","09/21/2022"
"The Savannah College of Art and Design, Inc. (SCAD)","08/21/2022, 08/22/2022","09/21/2022"
"Humana","05/07/2022","09/21/2022"
"Wolfe Clinic, P.C.","12/04/2021","09/19/2022"
"Chaney Electronics, Inc.","09/18/2020, 02/03/2022","09/19/2022"
"San Luis Coastal Unified School District","05/22/2022","09/16/2022"
"Audio Advisor, Inc.","09/18/2020, 02/03/2022","09/16/2022"
"First Technology Federal Credit Union","06/15/2022, 07/31/2022","09/16/2022"
"Tessie Cleveland Community Services Corp.","06/17/2022, 06/30/2022","09/16/2022"
"WellDyneRX, LLC","10/30/2021, 11/17/2021","09/15/2022"
"M.C. Dean, Inc.","12/24/2021","09/14/2022"
"DCSS","03/08/2022","09/13/2022"
"CORE Cashless, LLC","01/29/2022, 07/30/2022","09/13/2022"
"Blaze Solutions","12/29/2021","09/13/2022"
"Newcourse Communications","04/27/2022, 05/03/2022","09/10/2022"
"Radiology Associates of Albuquerque and Advanced Imaging, LLC.","12/22/2020, 08/03/2021","09/09/2022"
"Ballistic Products, Inc.","09/18/2020","09/09/2022"
"U-Haul International, Inc.","11/05/2021, 04/05/2022","09/09/2022"
"Silver Superstore","09/10/2020, 02/02/2022","09/09/2022"
"Williams Adams & Company","07/28/2022","09/08/2022"
"Wilson's Gun Shop, Inc.","09/17/2020","09/08/2022"
"DPI Specialty Foods, Inc.","01/22/2022, 02/20/2021","09/06/2022"
"Napa Valley College","06/10/2022","09/06/2022"
"VF Outdoor, LLC","07/26/2022, 08/20/2022","09/05/2022"
"Reiter Affiliated Companies, LLC, on behalf of itself and certain data owners","06/25/2022, 07/04/2022","09/02/2022"
"NORTH CAROLINA BOARD OF PHYSICAL THERAPY EXAMINERS","06/03/2022","09/02/2022"
"Legacy Supply Chain","08/05/2022","09/02/2022"
"Vermont Nut Free Chocolates","09/18/2020, 02/03/2022","09/01/2022"
"San Francisco 49ers","02/16/2022, 02/11/2022","09/01/2022"
"Grellas Shah LLP (“Grellas”)","12/20/2021, 03/28/2022","09/01/2022"
"Covenant Care California, LLC","02/24/2022, 05/03/2022","09/01/2022"
"MMA Operations, Inc.","03/26/2021, 02/23/2022","09/01/2022"
"San Francisco Fire CU","07/02/2022, 07/03/2022, 07/04/2022, 07/05/2022, 07/06/2022, 07/30/2022, 07/31/2022, 08/01/2022, 08/02/2022, 08/07/2022, 08/08/2022","08/30/2022"
"Neopets, Inc.","01/03/2021, 02/05/2021, 07/16/2022, 07/19/2022","08/30/2022"
"Kaye-Smith Enterprises, Inc.","05/18/2022, 06/02/2022","08/29/2022"
"Sacramento County Employee Benefits Office","07/15/2022","08/29/2022"
"Nelnet Servicing LLC ","06/01/2022, 07/22/2022","08/26/2022"
"KeyBank","07/05/2022","08/26/2022"
"Brown Rudnick LLP","05/17/2022, 05/18/2022","08/26/2022"
"Truly Nolen of America, Inc.","04/29/2022, 05/11/2022","08/26/2022"
"Valex Corporation ","07/01/2021","08/25/2022"
"Warner Norcross and Judd, LLP","06/28/2021","08/25/2022"
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network","09/30/2021","08/24/2022"
"County of Los Angeles Department of Public Health","07/01/2020","08/23/2022"
"Comstar, LLC","03/19/2022, 03/26/2022","08/22/2022"
"California Department of Corrections and Rehabilitation","12/21/2021","08/22/2022"
"California Department of Social Services","08/11/2022","08/19/2022"
"Community Loan Servicing LLC","10/27/2021, 12/07/2021","08/19/2022"
"The Grand Lodge of Free & Accepted Masons of California","06/10/2022, 06/14/2022","08/19/2022"
"Michigan Avenue Immediate Care","04/10/2022, 05/01/2022","08/18/2022"
"Sturm, Ruger & Company, Inc.","09/18/2020, 02/03/2022","08/17/2022"
